,CIK,Company Name,Form Type,Date Filed,File Name,File split,Landing page
3163,785786,PLEXUS CORP,10-K,20181116,edgar/data/785786/0000785786-18-000051.txt,edgar/data/785786/0000785786-18-000051,https://www.sec.gov/Archives/edgar/data/785786/0000785786-18-000051-index.htm
3227,829224,STARBUCKS CORP,10-K,20181116,edgar/data/829224/0000829224-18-000052.txt,edgar/data/829224/0000829224-18-000052,https://www.sec.gov/Archives/edgar/data/829224/0000829224-18-000052-index.htm
3253,831641,TETRA TECH INC,10-K,20181116,edgar/data/831641/0000831641-18-000097.txt,edgar/data/831641/0000831641-18-000097,https://www.sec.gov/Archives/edgar/data/831641/0000831641-18-000097-index.htm
3323,857005,PTC INC.,10-K,20181116,edgar/data/857005/0000857005-18-000025.txt,edgar/data/857005/0000857005-18-000025,https://www.sec.gov/Archives/edgar/data/857005/0000857005-18-000025-index.htm
3380,882184,HORTON D R INC /DE/,10-K,20181116,edgar/data/882184/0000882184-18-000120.txt,edgar/data/882184/0000882184-18-000120,https://www.sec.gov/Archives/edgar/data/882184/0000882184-18-000120-index.htm
209,1061164,PEREGRINE INDUSTRIES INC,10-K,20181119,edgar/data/1061164/0001262463-18-000365.txt,edgar/data/1061164/0001262463-18-000365,https://www.sec.gov/Archives/edgar/data/1061164/0001262463-18-000365-index.htm
295,1096752,EDGEWELL PERSONAL CARE Co,10-K,20181119,edgar/data/1096752/0001096752-18-000043.txt,edgar/data/1096752/0001096752-18-000043,https://www.sec.gov/Archives/edgar/data/1096752/0001096752-18-000043-index.htm
311,1101396,"DELTA APPAREL, INC",10-K,20181119,edgar/data/1101396/0001101396-18-000043.txt,edgar/data/1101396/0001101396-18-000043,https://www.sec.gov/Archives/edgar/data/1101396/0001101396-18-000043-index.htm
854,1308569,MAJOR LEAGUE FOOTBALL INC,10-K,20181119,edgar/data/1308569/0001640334-18-002246.txt,edgar/data/1308569/0001640334-18-002246,https://www.sec.gov/Archives/edgar/data/1308569/0001640334-18-002246-index.htm
1553,1490873,"ECO SCIENCE SOLUTIONS, INC.",10-K,20181119,edgar/data/1490873/0001594062-18-000193.txt,edgar/data/1490873/0001594062-18-000193,https://www.sec.gov/Archives/edgar/data/1490873/0001594062-18-000193-index.htm
2459,1674862,ASHLAND GLOBAL HOLDINGS INC,10-K,20181119,edgar/data/1674862/0001564590-18-029786.txt,edgar/data/1674862/0001564590-18-029786,https://www.sec.gov/Archives/edgar/data/1674862/0001564590-18-029786-index.htm
3274,32604,EMERSON ELECTRIC CO,10-K,20181119,edgar/data/32604/0000032604-18-000044.txt,edgar/data/32604/0000032604-18-000044,https://www.sec.gov/Archives/edgar/data/32604/0000032604-18-000044-index.htm
3329,47518,"Hill-Rom Holdings, Inc.",10-K,20181119,edgar/data/47518/0000047518-18-000120.txt,edgar/data/47518/0000047518-18-000120,https://www.sec.gov/Archives/edgar/data/47518/0000047518-18-000120-index.htm
3336,50725,GRIFFON CORP,10-K,20181119,edgar/data/50725/0000050725-18-000075.txt,edgar/data/50725/0000050725-18-000075,https://www.sec.gov/Archives/edgar/data/50725/0000050725-18-000075-index.htm
16,1002517,"Nuance Communications, Inc.",10-K,20181120,edgar/data/1002517/0001002517-18-000064.txt,edgar/data/1002517/0001002517-18-000064,https://www.sec.gov/Archives/edgar/data/1002517/0001002517-18-000064-index.htm
